Name, Extension, Size, Checksum, Inode
files_check, , 43424, a7e8, 16003
checksum.c, d, 78, 1bb1, 15995
checksum.c, o, 7312, 1ccfb, 15996
event_watch_file_state_comp.c, d, 119, 2bdb, 15997
event_watch_file_state_comp.c, o, 11120, 1334c, 15998
files_check_func.c, d, 97, 2287, 15999
files_check_func.c, o, 20728, 1392d, 16000
files_check_main.c, d, 97, 2279, 16001
files_check_main.c, o, 5440, 13fb8, 16002
src, , 4096, 00, 15994
build, , 360, 00, 15993
diff, out, 25416, 42d4, 15920
Makefile, , 614, 9a53, 15913
md5_checksum, out, 28600, 587c, 15880
my_diff, out, 26064, 6fe0, 16530
new111, txt, 5, 1f4, 17238
new_file_test, txt, 17, 6b6, 17309
new_new_new, txt, 34, c89, 17302
checksum, c, 513, 94ef, 15870
event_watch_file_state_comp, c, 2630, 2d84e, 17242
files_check, h, 1884, 23fd6, 17325
files_check_func, c, 6188, 4b22c, 17326
files_check_main, c, 2049, 53d7, 15868
src, , 4096, 00, 16535
test, txt, 725, d813, 15876
test11, txt, 0, 00, 16545
test55, txt, 0, 00, 16546
test6666, txt, 3, 151, 17205
gcc, pdf, 2949188, a4d0, 15874
test_folder, , 4096, 00, 15873
test_new, txt, 0, 00, 16532
test_new2, txt, 4, 1a8, 17210
tlpi_hdr, h, 2681, 32381, 15941
tn, txt, 5, 20a, 17273
., , 4096, 00, 15862
