Name, Extension, Size, Checksum, Inode
diff, out, 25416, 113d4710, 15920
files_check, 1out, 32048, 113d4710, 15882
files_check, out, 38544, 113d4710, 16547
file_check, out, 27000, 113d4710, 15922
Makefile, , 518, 113d4710, 15913
md5_checksum, out, 28600, 113d4710, 15880
my_diff, out, 26064, 113d4710, 16530
event_watch_file_state_comp, c, 4858, 113d3610, 15912
event_watch_file_state_comp, d, 109, 113d3610, 16560
event_watch_file_state_comp, o, 15344, 113d3610, 16561
files_check, h, 1799, 113d3610, 16534
files_check_func, c, 7403, 113d3610, 16536
files_check_func, d, 84, 113d3610, 16562
files_check_func, o, 11672, 113d3610, 16544
files_check_main, c, 3126, 113d3610, 15868
files_check_main, d, 84, 113d3610, 16539
files_check_main, o, 6144, 113d3610, 16564
md5_checksum, c, 745, 113d3610, 15870
md5_checksum, d, 76, 113d3610, 16541
md5_checksum, o, 2432, 113d3610, 16533
src, , 4096, 113d4710, 16535
test, txt, 725, 113d4710, 15876
test11, txt, 0, 113d4710, 16545
test55, txt, 0, 113d4710, 16546
gcc, pdf, 2949188, 113d3610, 15874
test_folder, , 4096, 113d4710, 15873
test_make, , 3162, 113d4710, 16552
test_new, txt, 0, 113d4710, 16532
tlpi_hdr, h, 2681, 113d4710, 15941
., , 4096, 113d5810, 15862
